province,final_cumulative_confirmed,total_daily_confirmed,peak_daily_confirmed,first_date,last_date
Hong Kong,2876106.0,2876130.0,76991.0,2020-01-22,2023-03-09
Unknown,1521816.0,1522026.0,66677.0,2020-01-22,2023-03-09
Guangdong,103248.0,103248.0,3508.0,2020-01-22,2023-03-09
Hubei,72131.0,72132.0,14840.0,2020-01-22,2023-03-09
Shanghai,67040.0,67629.0,5489.0,2020-01-22,2023-03-09
Beijing,40774.0,40775.0,2360.0,2020-01-22,2023-03-09
Jilin,40764.0,40765.0,4222.0,2020-01-22,2023-03-09
Fujian,17122.0,17195.0,1234.0,2020-01-22,2023-03-09
Chongqing,14715.0,14715.0,654.0,2020-01-22,2023-03-09
Sichuan,14567.0,14567.0,475.0,2020-01-22,2023-03-09
Guangxi,13371.0,13371.0,2046.0,2020-01-22,2023-03-09
Zhejiang,11848.0,11848.0,4220.0,2020-01-22,2023-03-09
Hainan,10483.0,10483.0,1683.0,2020-01-22,2023-03-09
Henan,9948.0,9948.0,378.0,2020-01-22,2023-03-09
Yunnan,9743.0,9755.0,736.0,2020-01-22,2023-03-09
Inner Mongolia,8847.0,8847.0,256.0,2020-01-22,2023-03-09
Hunan,7437.0,7437.0,572.0,2020-01-22,2023-03-09
Shaanxi,7326.0,7327.0,334.0,2020-01-22,2023-03-09
Shanxi,7167.0,7167.0,995.0,2020-01-22,2023-03-09
Heilongjiang,6603.0,6607.0,223.0,2020-01-22,2023-03-09
Shandong,5880.0,5880.0,441.0,2020-01-22,2023-03-09
Jiangsu,5075.0,5102.0,1091.0,2020-01-22,2023-03-09
Tianjin,4392.0,4392.0,176.0,2020-01-22,2023-03-09
Liaoning,3547.0,3792.0,265.0,2020-01-22,2023-03-09
Macau,3514.0,3779.0,342.0,2020-01-22,2023-03-09
Jiangxi,3423.0,3428.0,285.0,2020-01-22,2023-03-09
Hebei,3292.0,3293.0,585.0,2020-01-22,2023-03-09
Xinjiang,3089.0,3089.0,112.0,2020-01-22,2023-03-09
Guizhou,2534.0,2535.0,378.0,2020-01-22,2023-03-09
Anhui,2275.0,2275.0,507.0,2020-01-22,2023-03-09
Gansu,1742.0,1742.0,120.0,2020-01-22,2023-03-09
Tibet,1647.0,1654.0,139.0,2020-01-22,2023-03-09
Ningxia,1276.0,1276.0,180.0,2020-01-22,2023-03-09
Qinghai,782.0,782.0,118.0,2020-01-22,2023-03-09
